,Action,Start Date and Time (UTC),Most recent duration (ms),Notes,Used in Processes,Used in Dashboards
Processes,,,,,,
Daily Load,,2026-09-21 05:02:14,41800,,,
Monthly Master Data,,2026-09-01 06:10:44,9200,,,
Publish to Spokes,,2026-09-21 05:03:01,14100,,,
Imports,,,,,,
Import GL from NetSuite,Import into 'DAT01 GL Transactions',2026-09-21 05:02:14,38900,,Daily Load,
Import Orders from Salesforce,Import into 'DAT06 Sales Orders',2026-09-21 05:02:53,2100,,Daily Load,
Import Pipeline from Salesforce,Import into 'DAT05 CRM Pipeline',2026-09-21 05:02:55,800,,Daily Load,
Import Cost Centres from NetSuite,Import into 'DAT02 Cost Centre Master',2026-09-01 06:10:44,600,,Monthly Master Data,
Import Accounts from NetSuite,Import into 'DAT03 Account Master',2026-09-01 06:10:45,400,,Monthly Master Data,
Import Employees from Workday,Import into 'DAT08 Employee Master',2026-09-01 06:10:46,8200,,Monthly Master Data,
Import Products from PIM file,Import into 'DAT04 Product Master',2023-06-14 11:22:09,300,Manual. PIM extract from Marketing.,,
Import Customers from Salesforce,Import into 'DAT07 Customer Master',2026-08-30 17:41:02,1900,,,
Exports,,,,,,
Export GL to FP&A,Export from 'DAT01 GL Transactions',2026-09-21 05:03:01,9800,,Publish to Spokes,
Export Volumes to FP&A,Export from 'CAL01 Volume Summary',2026-09-21 05:03:11,1200,,Publish to Spokes,
Export Cost Centre Map to Workforce,Export from 'DAT02 Cost Centre Master',2026-09-21 05:03:12,300,,Publish to Spokes,
Export Product Master to FP&A,Export from 'DAT04 Product Master',2026-09-21 05:03:13,200,,Publish to Spokes,
Export Account Master to FP&A,Export from 'DAT03 Account Master',2026-09-21 05:03:13,200,,Publish to Spokes,
Export Pipeline for Sales Ops,Export from 'DAT05 CRM Pipeline',2025-02-11 09:15:40,700,,,
Other Actions,,,,,,
Daily Load,,,,,,
Import GL from NetSuite,,,,,,
Import Orders from Salesforce,,,,,,
Import Pipeline from Salesforce,,,,,,
Monthly Master Data,,,,,,
Import Cost Centres from NetSuite,,,,,,
Import Accounts from NetSuite,,,,,,
Import Employees from Workday,,,,,,
Publish to Spokes,,,,,,
Export GL to FP&A,,,,,,
Export Volumes to FP&A,,,,,,
Export Cost Centre Map to Workforce,,,,,,
Export Product Master to FP&A,,,,,,
Export Account Master to FP&A,,,,,,
