,Format,Formula,Summary,Applies To,Time Scale,Time Range,Versions,Style,Cell Count,Calculation Effort,Notes,Read Access Driver,Write Access Driver,Users List,Parent,Is Summary,Formula Scope,Code,Use Switchover,Breakback,Brought-Forward,Start of Section,Data Tags,Referenced By,Module Name
SYS01 Time Settings,,,,,Month,Model Calendar,Not Applicable,,180,,,,,Show All Users: On,,,,,,New Line Items: Off,,,,,
Current Period?,"{""dataType"":""BOOLEAN""}",ITEM(Time) = 'SYS00 Model Settings'.Current Period,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",-,Month,Model Calendar,Not Applicable,,36,00.00%,,-,-,,,false,-,,false,false,false,false,-,,SYS01 Time Settings
Start of Month,"{""dataType"":""DATE""}",START(),"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",-,Month,Model Calendar,Not Applicable,,36,00.00%,,-,-,,,false,-,,false,false,false,false,-,,SYS01 Time Settings
End of Month,"{""dataType"":""DATE""}",END(),"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",-,Month,Model Calendar,Not Applicable,,36,00.00%,,-,-,,,false,-,,false,false,false,false,-,,SYS01 Time Settings
Days in Month,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",DAYS(),"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",-,Month,Model Calendar,Not Applicable,,36,00.00%,,-,-,,,false,-,,false,false,false,false,-,,SYS01 Time Settings
Period Label,"{""textType"":""GENERAL"",""dataType"":""TEXT""}",NAME(ITEM(Time)),"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",-,Month,Model Calendar,Not Applicable,,36,00.00%,,-,-,,,false,-,,false,false,false,false,-,,SYS01 Time Settings
SYS00 Model Settings,,,,,Not Applicable,Not Applicable,Not Applicable,,3,,,,,Show All Users: On,,,,,,New Line Items: Off,,,,,
Current Period,"{""periodType"":""MONTH"",""dataType"":""TIME_ENTITY""}",,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",-,Not Applicable,Not Applicable,Not Applicable,,1,,,-,-,,,false,-,,false,false,false,false,-,'SYS01 Time Settings'.Current Period?,SYS00 Model Settings
Last Loaded Period,"{""periodType"":""MONTH"",""dataType"":""TIME_ENTITY""}",,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",-,Not Applicable,Not Applicable,Not Applicable,,1,,,-,-,,,false,-,,false,false,false,false,-,,SYS00 Model Settings
Load Status,"{""textType"":""GENERAL"",""dataType"":""TEXT""}","""OK""","{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",-,Not Applicable,Not Applicable,Not Applicable,,1,00.00%,,-,-,,,false,-,,false,false,false,false,-,,SYS00 Model Settings
DAT01 GL Transactions,,,,"Cost Centres, Accounts",Month,Model Calendar,Not Applicable,,5017824,,,,,Show All Users: On,,,,,,New Line Items: Off,,,,,
Amount,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",,"{""summaryMethod"":""SUM"",""timeSummaryMethod"":""SUM"",""timeSummarySameAsMainSummary"":true}","Cost Centres, Accounts",Month,Model Calendar,Not Applicable,,1254456,,,-,-,,,false,-,,false,false,false,false,-,'SYS02 Data Checks'.GL Total,DAT01 GL Transactions
Journal Count,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",,"{""summaryMethod"":""SUM"",""timeSummaryMethod"":""SUM"",""timeSummarySameAsMainSummary"":true}","Cost Centres, Accounts",Month,Model Calendar,Not Applicable,,1254456,,,-,-,,,false,-,,false,false,false,false,-,Loaded?,DAT01 GL Transactions
Source System,"{""textType"":""GENERAL"",""dataType"":""TEXT""}",,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}","Cost Centres, Accounts",Month,Model Calendar,Not Applicable,,1254456,,,-,-,,,false,-,,false,false,false,false,-,,DAT01 GL Transactions
Loaded?,"{""dataType"":""BOOLEAN""}",Journal Count > 0,"{""summaryMethod"":""ANY"",""timeSummaryMethod"":""ANY"",""timeSummarySameAsMainSummary"":true}","Cost Centres, Accounts",Month,Model Calendar,Not Applicable,,1254456,88.35%,,-,-,,,false,-,,false,false,false,false,-,,DAT01 GL Transactions
DAT02 Cost Centre Master,,,,Cost Centres,Not Applicable,Not Applicable,Not Applicable,,1197,,,,,Show All Users: On,,,,,,New Line Items: Off,,,,,
Department,"{""hierarchyEntityLongId"":101000000860,""selectiveAccessApplied"":false,""showAll"":true,""dataType"":""ENTITY""}",,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",Cost Centres,Not Applicable,Not Applicable,Not Applicable,,133,,,-,-,,,false,-,,false,false,false,false,-,,DAT02 Cost Centre Master
