,Format,Formula,Summary,Applies To,Time Scale,Time Range,Versions,Style,Cell Count,Calculation Effort,Notes,Read Access Driver,Write Access Driver,Users List,Parent,Is Summary,Formula Scope,Code,Use Switchover,Breakback,Brought-Forward,Start of Section,Data Tags,Referenced By,Module Name
SYS00 Model Settings,,,,,Not Applicable,Not Applicable,Not Applicable,,9,,,,,Show All Users: On,,,,,,New Line Items: Off,,,,,
Current Period,"{""periodType"":""MONTH"",""dataType"":""TIME_ENTITY""}",,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",-,Not Applicable,Not Applicable,Not Applicable,,1,,,-,-,,,false,-,,false,false,false,false,-,'SYS01 Time Settings'.Current Period?,SYS00 Model Settings
Forecast Start,"{""periodType"":""MONTH"",""dataType"":""TIME_ENTITY""}",,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",-,Not Applicable,Not Applicable,Not Applicable,,1,,,-,-,,,false,-,,false,false,false,false,-,'SYS01 Time Settings'.Actual?,SYS00 Model Settings
Model Start,"{""periodType"":""MONTH"",""dataType"":""TIME_ENTITY""}",,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",-,Not Applicable,Not Applicable,Not Applicable,,1,,,-,-,,,false,-,,false,false,false,false,-,'SYS01 Time Settings'.First Period?,SYS00 Model Settings
Reporting Currency,"{""hierarchyEntityLongId"":101000000451,""selectiveAccessApplied"":false,""showAll"":true,""dataType"":""ENTITY""}",,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",-,Not Applicable,Not Applicable,Not Applicable,,1,,,-,-,,,false,-,,false,false,false,false,-,,SYS00 Model Settings
Default VAT Rate,"{""minimumSignificantDigits"":4,""decimalPlaces"":1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""PERCENTAGE"",""unitsDisplayType"":""PERCENTAGE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",-,Not Applicable,Not Applicable,Not Applicable,,1,,,-,-,,,false,-,,false,false,false,false,-,,SYS00 Model Settings
NI Threshold,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",-,Not Applicable,Not Applicable,Not Applicable,,1,,Annual. Update each April.,-,-,,,false,-,,false,false,false,false,-,'INP03 Headcount'.NI Threshold,SYS00 Model Settings
NI Rate,"{""minimumSignificantDigits"":4,""decimalPlaces"":1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""PERCENTAGE"",""unitsDisplayType"":""PERCENTAGE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",-,Not Applicable,Not Applicable,Not Applicable,,1,,,-,-,,,false,-,,false,false,false,false,-,'INP03 Headcount'.NI Rate,SYS00 Model Settings
Corporation Tax Rate,"{""minimumSignificantDigits"":4,""decimalPlaces"":1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""PERCENTAGE"",""unitsDisplayType"":""PERCENTAGE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",-,Not Applicable,Not Applicable,Not Applicable,,1,,,-,-,,,false,-,,false,false,false,false,-,,SYS00 Model Settings
Lock Actuals?,"{""dataType"":""BOOLEAN""}",,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",-,Not Applicable,Not Applicable,Not Applicable,,1,,,-,-,,,false,-,,false,false,false,false,-,,SYS00 Model Settings
SYS01 Time Settings,,,,,Month,Model Calendar,Not Applicable,,468,,,,,Show All Users: On,,,,,,New Line Items: Off,,,,,
Current Period?,"{""dataType"":""BOOLEAN""}",ITEM(Time) = 'SYS00 Model Settings'.Current Period,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",-,Month,Model Calendar,Not Applicable,,36,00.00%,,-,-,,,false,-,,false,false,false,false,-,,SYS01 Time Settings
