,Functional Area,Applies To,Time Scale,Time Range,Versions,Breakback,Users List,Cell Count,Notes,Read Access Driver,Write Access Driver,Data Tags,Managed By,Referenced By,Used in Dashboards,Line Items
SYS00 Model Settings,System,,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,9,,,,,,"'INP03 Headcount', 'SYS01 Time Settings'",,"Current Period, Forecast Start, Model Start, Reporting Currency, Default VAT Rate, NI Threshold, NI Rate, Corporation Tax Rate, Lock Actuals?"
SYS01 Time Settings,System,,Month,Model Calendar,Not Applicable,New Line Items: Off,Show All Users: On,468,Time flags. Every calc module reads Actual? from here.,,,,,"'CAL01 Volumes', 'CAL02 Revenue', 'CAL03 Opex', 'CAL05 Opex OLD', 'CAL08 Cash Flow', 'CAL12 Driver Phasing'",,"Current Period?, Actual?, Forecast?, First Period?, Start of Month, End of Month, Days in Month, Weekend Days, Bank Holidays, Working Days, Month Name, Year, Period Number"
SYS02 Cost Centre Attributes,System,Cost Centres,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,1463,,,,,,"'CAL03 Opex', 'CAL05 Opex OLD', 'CAL06 Department Summary', 'CAL08 Cash Flow'",,"Department, Region, Legal Entity, Currency, Active?, Cost Centre Code, Group, Owner, Region Code, CC and Region, Sales CC?"
SYS03 Account Attributes,System,Accounts,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,2096,,,,,,'CAL03 Opex',,"Account Type, P&L Line, Account Code, Revenue?, Opex?, COGS?, Staff?, Sign"
SYS04 Product Attributes,System,Products,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,252,,,,,,"'CAL07 P&L by Cost Centre', 'SYS07 Launch Flags'",,"Segment, Launch Date, Active?, Product Code, Revenue Cost Centre, Product Family"
SYS05 FX Rates,System,Currencies,Month,Model Calendar,All,New Line Items: Off,Show All Users: On,4608,Rates to GBP. Loaded from Treasury file monthly (manual).,,,,,"'CAL02 Revenue', 'CAL03 Opex', 'CAL04 Margn', 'CAL05 Opex OLD'",,"Rate to GBP, Rate Locked?, Rate to GBP Prior, Rate Movement"
SYS06 Region Attributes,System,Regions,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,24,,,,,,"'CAL02 Revenue', 'CAL04 Margn'",,"Currency, Region Code, Region Manager, Reportable?"
SYS07 Launch Flags,System,Products,Month,Model Calendar,Not Applicable,New Line Items: Off,Show All Users: On,3024,,,,,,'CAL01 Volumes',,"Launched?, Months Since Launch"
INP01 Volumes,Input,"Products, Regions",Month,Model Calendar,All,New Line Items: Off,Show All Users: On,254016,,,,,,"'CAL01 Volumes', 'CAL02 Revenue'",,"Units, Price, Discount %, Returns %, Volume Override, Use Override?, Comment"
INP02 Opex Drivers,Input,Cost Centres,Month,Model Calendar,All,New Line Items: Off,Show All Users: On,1110816,,,,,,"'CAL03 Opex', 'CAL05 Opex OLD', 'CAL12 Driver Phasing'",,"Rent, Business Rates, Utilities, Cleaning, Security, Insurance, Travel, Subsistence, Mileage, Hotels, Marketing Events, Marketing Digital, Marketing Print, Agency Fees, Software Licences, Software Support, Hardware, Telecoms, Mobile, Postage, Stationery, Printing, Legal Fees, Audit Fees, Consultancy, Contractors, Recruitment Fees, Training, Subscriptions, Memberships, Bank Charges, Vehicle Lease, Fuel, Repairs, Maintenance Contracts, Waste, Uniforms, Safety Equipment, Entertaining, Gifts, Donations, Sponsorship, Research, Samples, Freight Out, Packaging, Warehouse Rent, Temp Labour, Overtime Premium, Other Opex, Total Drivers, Property Costs, People Costs, Marketing Costs, IT Costs, Check, Has Drivers?, Driver Count"
