,Action,Start Date and Time (UTC),Most recent duration (ms),Notes,Used in Processes,Used in Dashboards
Processes,,,,,,
Monthly Refresh,,2026-09-04 08:15:31,22400,,,
Push to FP&A,,2026-09-05 09:10:44,3600,,,
Imports,,,,,,
Import Employees from Workday,Import into 'Data - Employees',2026-09-04 08:15:31,21900,,Monthly Refresh,
Import from Caldergate Data Hub - Cost Centre Map,Import into 'Data - Cost Centre Map',2026-09-04 08:15:53,500,,Monthly Refresh,
Import from Caldergate FP&A - Assumptions,Import into 'Inputs - Settings',2022-08-17 13:48:10,200,Rates now keyed by hand.,,
Exports,,,,,,
Export Headcount Cost to FP&A,Export from 'Calcs - Headcount by CC',2026-09-05 09:10:44,3600,,Push to FP&A,
Export Headcount by Department,Export from 'Reports - Headcount',2026-09-08 15:58:02,400,,,
Export Leavers Report,Export from 'Calcs - Attrition',2024-12-19 10:02:00,300,,,
Other Actions,,,,,,
Monthly Refresh,,,,,,
Import Employees from Workday,,,,,,
Import from Caldergate Data Hub - Cost Centre Map,,,,,,
Push to FP&A,,,,,,
Export Headcount Cost to FP&A,,,,,,
