,Format,Formula,Summary,Applies To,Time Scale,Time Range,Versions,Style,Cell Count,Calculation Effort,Notes,Read Access Driver,Write Access Driver,Users List,Parent,Is Summary,Formula Scope,Code,Use Switchover,Breakback,Brought-Forward,Start of Section,Data Tags,Referenced By,Module Name
Inputs - Settings,,,,,Not Applicable,Not Applicable,Not Applicable,,7,,,,,Show All Users: On,,,,,,New Line Items: Off,,,,,
Current Period,"{""periodType"":""MONTH"",""dataType"":""TIME_ENTITY""}",,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",-,Not Applicable,Not Applicable,Not Applicable,,1,,,-,-,,,false,-,,false,false,false,false,-,'Inputs - Calendar'.Current Period?,Inputs - Settings
Forecast Start,"{""periodType"":""MONTH"",""dataType"":""TIME_ENTITY""}",,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",-,Not Applicable,Not Applicable,Not Applicable,,1,,,-,-,,,false,-,,false,false,false,false,-,'Inputs - Calendar'.Actual?,Inputs - Settings
NI Threshold,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",-,Not Applicable,Not Applicable,Not Applicable,,1,,,-,-,,,false,-,,false,false,false,false,-,'Calcs - Cost'.NI Threshold,Inputs - Settings
NI Rate,"{""minimumSignificantDigits"":4,""decimalPlaces"":1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""PERCENTAGE"",""unitsDisplayType"":""PERCENTAGE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",-,Not Applicable,Not Applicable,Not Applicable,,1,,,-,-,,,false,-,,false,false,false,false,-,'Calcs - Cost'.NI Rate,Inputs - Settings
Pension Rate,"{""minimumSignificantDigits"":4,""decimalPlaces"":1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""PERCENTAGE"",""unitsDisplayType"":""PERCENTAGE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",-,Not Applicable,Not Applicable,Not Applicable,,1,,,-,-,,,false,-,,false,false,false,false,-,'Calcs - Cost'.Pension,Inputs - Settings
Salary Inflation,"{""minimumSignificantDigits"":4,""decimalPlaces"":1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""PERCENTAGE"",""unitsDisplayType"":""PERCENTAGE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",-,Not Applicable,Not Applicable,Not Applicable,,1,,,-,-,,,false,-,,false,false,false,false,-,'Calcs - Cost'.Inflated Salary,Inputs - Settings
Inflation Month,"{""periodType"":""MONTH"",""dataType"":""TIME_ENTITY""}",,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",-,Not Applicable,Not Applicable,Not Applicable,,1,,,-,-,,,false,-,,false,false,false,false,-,'Inputs - Calendar'.Inflation Applies?,Inputs - Settings
Inputs - Calendar,,,,,Month,Model Calendar,Not Applicable,,252,,,,,Show All Users: On,,,,,,New Line Items: Off,,,,,
Current Period?,"{""dataType"":""BOOLEAN""}",ITEM(Time) = 'Inputs - Settings'.Current Period,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",-,Month,Model Calendar,Not Applicable,,36,,,-,-,,,false,-,,false,false,false,false,-,,Inputs - Calendar
Actual?,"{""dataType"":""BOOLEAN""}",ITEM(Time) < 'Inputs - Settings'.Forecast Start,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",-,Month,Model Calendar,Not Applicable,,36,,,-,-,,,false,-,,false,false,false,false,-,,Inputs - Calendar
Days in Month,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",DAYS(),"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",-,Month,Model Calendar,Not Applicable,,36,,,-,-,,,false,-,,false,false,false,false,-,Working Days,Inputs - Calendar
Weekend Days,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",-,Month,Model Calendar,Not Applicable,,36,,,-,-,,,false,-,,false,false,false,false,-,Working Days,Inputs - Calendar
Bank Holidays,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",-,Month,Model Calendar,Not Applicable,,36,,,-,-,,,false,-,,false,false,false,false,-,Working Days,Inputs - Calendar
Working Days,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",Days in Month - Weekend Days - Bank Holidays,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",-,Month,Model Calendar,Not Applicable,,36,,,-,-,,,false,-,,false,false,false,false,-,,Inputs - Calendar
Inflation Applies?,"{""dataType"":""BOOLEAN""}",ITEM(Time) >= 'Inputs - Settings'.Inflation Month,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",-,Month,Model Calendar,Not Applicable,,36,,,-,-,,,false,-,,false,false,false,false,-,'Calcs - Cost'.Inflated Salary,Inputs - Calendar
Data - Cost Centre Map,,,,Cost Centres,Not Applicable,Not Applicable,Not Applicable,,532,,,,,Show All Users: On,,,,,,New Line Items: Off,,,,,
Department,"{""hierarchyEntityLongId"":101000000860,""selectiveAccessApplied"":false,""showAll"":true,""dataType"":""ENTITY""}",,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",Cost Centres,Not Applicable,Not Applicable,Not Applicable,,133,,,-,-,,,false,-,,false,false,false,false,-,"'Reports - Headcount'.FTE, 'Reports - Headcount'.Total Cost",Data - Cost Centre Map
Region,"{""hierarchyEntityLongId"":101000000376,""selectiveAccessApplied"":false,""showAll"":true,""dataType"":""ENTITY""}",,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",Cost Centres,Not Applicable,Not Applicable,Not Applicable,,133,,,-,-,,,false,-,,false,false,false,false,-,,Data - Cost Centre Map
Active?,"{""dataType"":""BOOLEAN""}",,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",Cost Centres,Not Applicable,Not Applicable,Not Applicable,,133,,,-,-,,,false,-,,false,false,false,false,-,,Data - Cost Centre Map
CC Code,"{""textType"":""GENERAL"",""dataType"":""TEXT""}",CODE(ITEM(Cost Centres)),"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",Cost Centres,Not Applicable,Not Applicable,Not Applicable,,133,,,-,-,,,false,-,,false,false,false,false,-,,Data - Cost Centre Map
Data - Employees,,,,Employees,Month,Model Calendar,Not Applicable,,666000,,,,,Show All Users: On,,,,,,New Line Items: Off,,,,,
Employee Name,"{""textType"":""GENERAL"",""dataType"":""TEXT""}",,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",Employees,Month,Model Calendar,Not Applicable,,66600,,,-,-,,,false,-,,false,false,false,false,-,Name and Role,Data - Employees
Cost Centre,"{""hierarchyEntityLongId"":101000000336,""selectiveAccessApplied"":false,""showAll"":true,""dataType"":""ENTITY""}",,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",Employees,Month,Model Calendar,Not Applicable,,66600,,,-,-,,,false,-,,false,false,false,false,-,"'Calcs - Headcount by CC'.FTE, 'Calcs - Headcount by CC'.Salary, 'Calcs - Headcount by CC'.Total Cost",Data - Employees
Role,"{""hierarchyEntityLongId"":101000000501,""selectiveAccessApplied"":false,""showAll"":true,""dataType"":""ENTITY""}",,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",Employees,Month,Model Calendar,Not Applicable,,66600,,,-,-,,,false,-,,false,false,false,false,-,"'Calcs - Attrition'.Headcount, 'Calcs - Attrition'.Leavers by Role, 'Calcs - Headcount by CC'.FTE, 'Calcs - Headcount by CC'.Salary, 'Calcs - Headcount by CC'.Total Cost, Name and Role, 'zz Archive - 2021 Cost'.Cost, 'zz Archive - 2021 Cost'.Headcount",Data - Employees
