,Action,Start Date and Time (UTC),Most recent duration (ms),Notes,Used in Processes,Used in Dashboards
Processes,,,,,,
Refresh Pack,,2026-09-08 16:05:40,4800,,,
Imports,,,,,,
Import from Caldergate FP&A - P&L by Cost Centre,Import into 'DAT01 P&L',2026-09-08 16:05:40,2600,,Refresh Pack,
Import from Caldergate FP&A - Board Pack,Import into 'DAT02 Board Lines',2026-09-08 16:05:43,900,,Refresh Pack,
Import from Workforce Planning - Headcount by Department,Import into 'DAT03 Headcount',2026-09-08 16:05:44,500,,Refresh Pack,
Exports,,,,,,
Export Board Pack PDF Data,Export from 'OUT01 Board Dashboard',2026-09-08 16:07:12,300,,,
Other Actions,,,,,,
Refresh Pack,,,,,,
Import from Caldergate FP&A - P&L by Cost Centre,,,,,,
Import from Caldergate FP&A - Board Pack,,,,,,
Import from Workforce Planning - Headcount by Department,,,,,,
