,Format,Formula,Summary,Applies To,Time Scale,Time Range,Versions,Style,Cell Count,Calculation Effort,Notes,Read Access Driver,Write Access Driver,Users List,Parent,Is Summary,Formula Scope,Code,Use Switchover,Breakback,Brought-Forward,Start of Section,Data Tags,Referenced By,Module Name
SYS01 Time,,,,,Month,Model Calendar,Not Applicable,,72,,,,,Show All Users: On,,,,,,New Line Items: Off,,,,,
Current Period?,"{""dataType"":""BOOLEAN""}",ITEM(Time) = 'SYS00 Settings'.Current Period,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",-,Month,Model Calendar,Not Applicable,,36,01.87%,,-,-,,,false,-,,false,false,false,false,-,,SYS01 Time
Period Label,"{""textType"":""GENERAL"",""dataType"":""TEXT""}",NAME(ITEM(Time)),"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",-,Month,Model Calendar,Not Applicable,,36,00.93%,,-,-,,,false,-,,false,false,false,false,-,,SYS01 Time
SYS00 Settings,,,,,Not Applicable,Not Applicable,Not Applicable,,2,,,,,Show All Users: On,,,,,,New Line Items: Off,,,,,
Current Period,"{""periodType"":""MONTH"",""dataType"":""TIME_ENTITY""}",,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",-,Not Applicable,Not Applicable,Not Applicable,,1,,,-,-,,,false,-,,false,false,false,false,-,'SYS01 Time'.Current Period?,SYS00 Settings
Pack Title,"{""textType"":""GENERAL"",""dataType"":""TEXT""}",,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",-,Not Applicable,Not Applicable,Not Applicable,,1,,,-,-,,,false,-,,false,false,false,false,-,,SYS00 Settings
DAT01 P&L,,,,Cost Centres,Month,Model Calendar,All,,134064,,,,,Show All Users: On,,,,,,New Line Items: Off,,,,,
Revenue,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",,"{""summaryMethod"":""SUM"",""timeSummaryMethod"":""SUM"",""timeSummarySameAsMainSummary"":true}",Cost Centres,Month,Model Calendar,All,,19152,,,-,-,,,false,All Versions,,false,false,false,false,-,'CAL01 KPIs'.Opex Ratio,DAT01 P&L
COGS,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",,"{""summaryMethod"":""SUM"",""timeSummaryMethod"":""SUM"",""timeSummarySameAsMainSummary"":true}",Cost Centres,Month,Model Calendar,All,,19152,,,-,-,,,false,All Versions,,false,false,false,false,-,,DAT01 P&L
Opex,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",,"{""summaryMethod"":""SUM"",""timeSummaryMethod"":""SUM"",""timeSummarySameAsMainSummary"":true}",Cost Centres,Month,Model Calendar,All,,19152,,,-,-,,,false,All Versions,,false,false,false,false,-,'CAL01 KPIs'.Opex Ratio,DAT01 P&L
